sl,tp,net
4,15,2372.3600000000033
4,20,2896.070000000008
4,25,2667.3900000000044
5,15,2282.330000000002
5,20,2778.780000000005
5,25,2558.930000000003
6,15,2150.1999999999966
6,20,2635.28
6,25,2415.429999999998
