timestamps,open,high,low,close,volume,amount
2025-04-20 23:55:00,3347.17200,3349.04300,3344.64800,3348.07800,889,0
2025-04-21 00:00:00,3348.11900,3354.24100,3347.48700,3353.61000,1791,0
2025-04-21 00:05:00,3353.64200,3355.21900,3352.54600,3353.63200,1255,0
2025-04-21 00:10:00,3353.66200,3356.32800,3352.37100,3354.25000,1282,0
2025-04-21 00:15:00,3354.24000,3355.82500,3352.92200,3355.41100,901,0
2025-04-21 00:20:00,3355.39900,3355.73700,3352.36900,3353.36600,995,0
2025-04-21 00:25:00,3353.37100,3356.13000,3353.31600,3355.52600,810,0
2025-04-21 00:30:00,3355.52500,3359.47700,3355.29400,3358.88600,1496,0
2025-04-21 00:35:00,3358.91200,3364.40500,3357.30700,3360.81900,1778,0
2025-04-21 00:40:00,3360.85400,3370.66500,3359.51100,3369.78000,1763,0
2025-04-21 00:45:00,3369.79600,3369.79600,3365.62400,3366.13900,1469,0
2025-04-21 00:50:00,3366.11600,3369.69300,3364.84800,3367.45100,1473,0
2025-04-21 00:55:00,3367.42700,3369.02500,3365.13600,3368.67800,1509,0
2025-04-21 01:00:00,3368.71800,3374.15400,3368.32200,3370.14500,4646,0
2025-04-21 01:05:00,3370.21500,3376.52600,3369.40600,3373.48200,2474,0
2025-04-21 01:10:00,3373.52800,3375.55700,3371.16100,3373.65200,1764,0
2025-04-21 01:15:00,3373.67700,3375.74800,3372.87400,3373.59900,1407,0
2025-04-21 01:20:00,3373.62400,3374.70700,3367.28900,3373.47100,1932,0
2025-04-21 01:25:00,3373.47200,3373.47200,3370.55000,3370.99900,1265,0
2025-04-21 01:30:00,3371.04700,3374.62500,3370.34400,3373.79700,1382,0
2025-04-21 01:35:00,3373.79900,3376.11200,3372.38200,3375.95400,1229,0
2025-04-21 01:40:00,3375.85700,3377.03100,3375.42200,3376.18300,992,0
2025-04-21 01:45:00,3376.21800,3377.11000,3371.93900,3373.75500,1368,0
2025-04-21 01:50:00,3373.67500,3377.93200,3373.49500,3377.30600,1120,0
2025-04-21 01:55:00,3377.30900,3378.54000,3375.88900,3377.48100,913,0
2025-04-21 02:00:00,3377.49600,3382.58800,3377.49600,3379.43900,1752,0
2025-04-21 02:05:00,3379.46900,3380.88200,3377.83500,3378.10200,1082,0
2025-04-21 02:10:00,3378.15100,3378.44100,3374.21700,3377.49900,1216,0
2025-04-21 02:15:00,3377.50000,3380.45700,3376.46500,3379.89900,1055,0
2025-04-21 02:20:00,3379.87400,3382.18600,3379.12100,3380.17800,884,0
2025-04-21 02:25:00,3380.21700,3381.92700,3379.39700,3381.50000,1048,0
2025-04-21 02:30:00,3381.53900,3382.35200,3379.51700,3380.45300,1397,0
2025-04-21 02:35:00,3380.49500,3384.11700,3379.61900,3383.78000,1106,0
2025-04-21 02:40:00,3383.80400,3384.51300,3382.01000,3382.71000,1007,0
2025-04-21 02:45:00,3382.73600,3384.09800,3382.08700,3382.97200,752,0
2025-04-21 02:50:00,3382.95400,3384.70200,3382.48600,3384.08600,769,0
2025-04-21 02:55:00,3384.12000,3384.98100,3382.86400,3384.79800,929,0
2025-04-21 03:00:00,3384.75700,3385.27000,3381.77200,3382.68800,1202,0
2025-04-21 03:05:00,3382.76000,3383.82200,3380.84200,3382.17800,820,0
2025-04-21 03:10:00,3382.21100,3383.50000,3380.48400,3381.25700,1022,0
2025-04-21 03:15:00,3381.18300,3382.30700,3378.24700,3379.85400,1170,0
2025-04-21 03:20:00,3379.75500,3381.45800,3378.98300,3381.12900,910,0
2025-04-21 03:25:00,3381.15700,3383.33800,3381.15700,3382.36900,867,0
2025-04-21 03:30:00,3382.31300,3384.78200,3382.31300,3384.38500,646,0
2025-04-21 03:35:00,3384.37000,3385.16800,3383.61600,3383.61600,585,0
2025-04-21 03:40:00,3383.61600,3383.81200,3382.37400,3383.11100,732,0
2025-04-21 03:45:00,3383.07500,3383.99600,3382.24800,3383.05200,598,0
2025-04-21 03:50:00,3383.04900,3384.65500,3382.64500,3382.92100,707,0
2025-04-21 03:55:00,3382.89700,3383.58100,3381.97100,3382.47200,733,0
2025-04-21 04:00:00,3382.46500,3382.46500,3377.53700,3377.62300,1037,0
2025-04-21 04:05:00,3377.64000,3378.62300,3375.65800,3378.15600,1375,0
2025-04-21 04:10:00,3378.12900,3378.12900,3373.83700,3373.91500,772,0
2025-04-21 04:15:00,3373.89000,3374.73200,3369.55200,3372.69800,1382,0
2025-04-21 04:20:00,3372.59600,3375.22500,3372.26900,3375.20100,801,0
2025-04-21 04:25:00,3375.20100,3376.74100,3373.09500,3374.41900,905,0
2025-04-21 04:30:00,3374.44400,3375.13900,3373.42300,3374.65800,483,0
2025-04-21 04:35:00,3374.69200,3376.96500,3374.31600,3376.68600,493,0
2025-04-21 04:40:00,3376.69000,3377.10100,3375.55100,3377.10100,477,0
2025-04-21 04:45:00,3377.08300,3377.08300,3375.01100,3375.43900,497,0
2025-04-21 04:50:00,3375.44800,3376.21200,3375.18700,3375.28000,416,0
2025-04-21 04:55:00,3375.32500,3376.40800,3374.10000,3376.34900,544,0
2025-04-21 05:00:00,3376.35900,3382.08000,3376.09400,3381.92500,823,0
2025-04-21 05:05:00,3381.91900,3385.78600,3380.45500,3381.94500,1459,0
2025-04-21 05:10:00,3381.94000,3382.97600,3375.83200,3382.66400,1447,0
2025-04-21 05:15:00,3382.64000,3383.10800,3379.05300,3380.03100,852,0
2025-04-21 05:20:00,3379.98900,3381.32500,3379.40300,3379.51400,647,0
2025-04-21 05:25:00,3379.51500,3382.09500,3379.03500,3381.73300,760,0
2025-04-21 05:30:00,3381.69100,3384.31100,3380.54800,3382.32400,1587,0
2025-04-21 05:35:00,3382.34900,3382.74400,3379.69500,3380.05800,929,0
2025-04-21 05:40:00,3380.09700,3383.24200,3379.73800,3382.69800,764,0
2025-04-21 05:45:00,3382.70700,3384.08300,3381.66700,3382.30100,749,0
2025-04-21 05:50:00,3382.31100,3383.95600,3382.09600,3383.94400,753,0
2025-04-21 05:55:00,3383.97900,3385.86700,3383.21500,3385.37300,903,0
2025-04-21 06:00:00,3385.39800,3386.96100,3383.47600,3385.63000,1019,0
2025-04-21 06:05:00,3385.61200,3388.92700,3382.45900,3387.04400,1794,0
2025-04-21 06:10:00,3386.97200,3389.72500,3386.89100,3388.04200,1537,0
2025-04-21 06:15:00,3388.08900,3389.49300,3387.21100,3389.17000,1134,0
2025-04-21 06:20:00,3389.20500,3390.47200,3388.71200,3389.81100,872,0
2025-04-21 06:25:00,3389.78300,3390.96700,3388.07800,3389.56800,1122,0
2025-04-21 06:30:00,3389.52100,3391.20000,3387.77500,3389.05100,1083,0
2025-04-21 06:35:00,3389.07600,3391.65000,3387.87800,3390.58600,962,0
2025-04-21 06:40:00,3390.47500,3391.78900,3389.73300,3391.09400,865,0
2025-04-21 06:45:00,3391.05000,3392.25800,3389.54800,3391.25400,973,0
2025-04-21 06:50:00,3391.25700,3393.16900,3390.84200,3391.72900,799,0
2025-04-21 06:55:00,3391.69900,3392.66800,3391.24900,3392.26100,715,0
2025-04-21 07:00:00,3392.23700,3394.64600,3390.88900,3394.06600,1102,0
2025-04-21 07:05:00,3394.09600,3394.53000,3392.42200,3394.45300,813,0
2025-04-21 07:10:00,3394.46200,3394.78900,3393.03700,3393.68600,682,0
2025-04-21 07:15:00,3393.65200,3394.83100,3392.78600,3394.78800,717,0
2025-04-21 07:20:00,3394.87400,3396.01700,3392.56400,3395.44500,943,0
2025-04-21 07:25:00,3395.40000,3395.55900,3393.26700,3394.43400,786,0
2025-04-21 07:30:00,3394.40900,3395.72800,3393.75600,3395.40000,727,0
2025-04-21 07:35:00,3395.40100,3395.47900,3392.41700,3392.85700,862,0
2025-04-21 07:40:00,3392.85500,3392.85500,3390.87700,3391.66600,922,0
2025-04-21 07:45:00,3391.61900,3391.76100,3385.97300,3386.38400,1279,0
2025-04-21 07:50:00,3386.33800,3387.59400,3381.84200,3385.36400,1688,0
2025-04-21 07:55:00,3385.38900,3386.26800,3383.95800,3385.08200,1282,0
2025-04-21 08:00:00,3385.03100,3387.66800,3384.94800,3387.20300,832,0
2025-04-21 08:05:00,3387.17500,3387.17500,3384.46600,3385.25400,771,0
2025-04-21 08:10:00,3385.22400,3385.79200,3383.64700,3385.41200,699,0
2025-04-21 08:15:00,3385.42900,3387.73000,3383.96000,3387.02200,928,0
2025-04-21 08:20:00,3387.02300,3388.96100,3386.68700,3388.25500,773,0
2025-04-21 08:25:00,3388.20600,3390.07000,3388.20600,3389.25000,652,0
2025-04-21 08:30:00,3389.28700,3390.16500,3387.58900,3388.44400,724,0
2025-04-21 08:35:00,3388.45100,3389.08000,3387.09100,3387.94600,617,0
2025-04-21 08:40:00,3387.84500,3390.39500,3387.81300,3390.32200,605,0
2025-04-21 08:45:00,3390.25300,3394.25500,3390.25300,3391.88000,1114,0
2025-04-21 08:50:00,3391.84500,3394.04600,3391.79200,3392.83500,810,0
2025-04-21 08:55:00,3392.83500,3394.13300,3392.17300,3392.77700,710,0
2025-04-21 09:00:00,3392.77500,3393.29700,3392.11000,3393.09800,605,0
2025-04-21 09:05:00,3393.17700,3393.63400,3392.67800,3393.39300,500,0
2025-04-21 09:10:00,3393.45900,3396.54600,3393.27400,3394.46600,1040,0
2025-04-21 09:15:00,3394.43100,3394.96700,3391.75100,3393.74200,799,0
2025-04-21 09:20:00,3393.72800,3395.35700,3393.63400,3393.98300,773,0
2025-04-21 09:25:00,3393.96400,3397.01800,3393.17700,3395.88300,859,0
2025-04-21 09:30:00,3395.81800,3395.87800,3393.56000,3395.60900,969,0
2025-04-21 09:35:00,3395.56600,3396.11100,3394.88000,3395.46100,639,0
2025-04-21 09:40:00,3395.47300,3396.27700,3395.11500,3395.40000,634,0
