timestamps,open,high,low,close,volume,amount
2026-07-13 00:00:00,4084.359,4086.586,4080.744,4083.916,2219,0
2026-07-13 00:05:00,4084.278,4090.327,4083.539,4088.305,1859,0
2026-07-13 00:10:00,4088.252,4091.138,4085.921,4086.703,1147,0
2026-07-13 00:15:00,4086.685,4087.924,4080.043,4082.167,1223,0
2026-07-13 00:20:00,4082.361,4083.539,4080.225,4082.497,1341,0
2026-07-13 00:25:00,4082.493,4082.811,4074.087,4074.69,1404,0
2026-07-13 00:30:00,4074.641,4075.665,4060.953,4062.496,1806,0
2026-07-13 00:35:00,4062.549,4070.165,4061.866,4069.485,1482,0
2026-07-13 00:40:00,4069.212,4073.467,4067.887,4073.098,1405,0
2026-07-13 00:45:00,4073.036,4076.914,4068.68,4069.162,1420,0
2026-07-13 00:50:00,4069.221,4074.549,4068.696,4074.244,1798,0
2026-07-13 00:55:00,4074.293,4077.443,4072.88,4073.858,1569,0
2026-07-13 01:00:00,4073.773,4076.141,4065.271,4071.248,4833,0
2026-07-13 01:05:00,4071.402,4081.207,4069.973,4077.512,2438,0
2026-07-13 01:10:00,4077.561,4080.508,4076.47,4079.616,1508,0
2026-07-13 01:15:00,4079.341,4082.034,4072.407,4073.393,2127,0
2026-07-13 01:20:00,4073.595,4076.296,4071.036,4074.249,2143,0
2026-07-13 01:25:00,4074.55,4080.137,4074.424,4079.636,2144,0
2026-07-13 01:30:00,4079.87,4089.913,4077.586,4084.909,2417,0
2026-07-13 01:35:00,4084.939,4088.713,4082.113,4087.254,1606,0
2026-07-13 01:40:00,4087.375,4087.723,4082.934,4084.612,1563,0
2026-07-13 01:45:00,4084.413,4087.164,4082.88,4085.661,1526,0
2026-07-13 01:50:00,4085.818,4088.1,4074.031,4074.064,2331,0
2026-07-13 01:55:00,4074.261,4075.866,4067.307,4072.008,2993,0
2026-07-13 02:00:00,4072.323,4074.722,4069.995,4070.933,1996,0
2026-07-13 02:05:00,4070.869,4073.773,4069.966,4073.366,1803,0
2026-07-13 02:10:00,4073.105,4075.05,4070.477,4072.283,1633,0
2026-07-13 02:15:00,4071.977,4074.545,4070.988,4073.396,1333,0
2026-07-13 02:20:00,4073.607,4074.325,4069.293,4070.575,1210,0
2026-07-13 02:25:00,4070.262,4071.548,4066.497,4067.254,1409,0
2026-07-13 02:30:00,4067.305,4073.717,4064.436,4073.604,2137,0
2026-07-13 02:35:00,4073.654,4077.505,4073.654,4075.276,1264,0
2026-07-13 02:40:00,4075.221,4075.372,4071.151,4072.626,1169,0
