timestamps,open,high,low,close,volume,amount
2026-03-20 20:55:00,4497.86000,4499.98700,4497.11400,4497.48600,1057,0
2026-03-22 22:00:00,4477.88900,4480.77800,4449.39100,4474.91200,1833,0
2026-03-22 22:05:00,4475.79000,4515.98800,4472.27100,4510.56000,2813,0
2026-03-22 22:10:00,4510.63600,4515.06400,4490.62400,4507.32300,2239,0
2026-03-22 22:15:00,4507.25000,4520.98500,4503.37100,4514.45100,1882,0
2026-03-22 22:20:00,4514.54300,4532.09900,4512.79700,4527.53600,2581,0
2026-03-22 22:25:00,4527.70300,4536.32100,4521.05800,4524.38700,2555,0
2026-03-22 22:30:00,4524.59400,4526.76600,4507.49400,4512.87200,2691,0
2026-03-22 22:35:00,4512.81400,4517.04700,4504.90400,4515.53200,1768,0
2026-03-22 22:40:00,4515.51800,4515.95800,4505.31200,4506.75100,1587,0
2026-03-22 22:45:00,4506.71000,4515.38500,4504.33000,4506.51000,1359,0
2026-03-22 22:50:00,4506.55800,4511.23400,4505.61200,4505.83300,1052,0
2026-03-22 22:55:00,4505.75600,4505.75600,4489.86100,4497.94900,1612,0
2026-03-22 23:00:00,4497.97900,4510.87300,4494.14400,4499.34100,2271,0
2026-03-22 23:05:00,4499.42000,4505.85200,4487.81000,4495.24100,1816,0
2026-03-22 23:10:00,4495.30600,4499.88100,4485.42800,4490.55800,2206,0
2026-03-22 23:15:00,4490.30700,4500.00100,4489.79300,4490.84700,1745,0
2026-03-22 23:20:00,4490.79200,4492.89500,4485.20300,4489.62100,1923,0
2026-03-22 23:25:00,4489.38600,4492.15200,4482.52600,4485.24800,1922,0
2026-03-22 23:30:00,4485.19200,4488.36000,4480.07800,4482.14900,1961,0
2026-03-22 23:35:00,4482.46700,4485.47400,4472.16900,4478.91800,1974,0
2026-03-22 23:40:00,4478.84600,4491.04900,4477.74300,4488.47600,1713,0
2026-03-22 23:45:00,4488.52900,4493.74800,4459.44900,4463.00900,3538,0
2026-03-22 23:50:00,4463.03500,4470.50600,4452.44600,4458.41500,3254,0
