timestamps,open,high,low,close,volume,amount
2025-06-05 23:30:00,3359.31,3362.655,3357.216,3361.81,0,0
2025-06-06 00:00:00,3361.867,3364.085,3361.521,3362.936,0,0
2025-06-06 00:30:00,3362.978,3364.072,3357.313,3359.357,0,0
2025-06-06 01:00:00,3359.33,3368.466,3356.133,3368.439,0,0
2025-06-06 01:30:00,3368.53,3368.53,3360.296,3363.776,0,0
2025-06-06 02:00:00,3363.75,3365.358,3362.047,3363.871,0,0
2025-06-06 02:30:00,3363.874,3366.56,3362.327,3363.87,0,0
2025-06-06 03:00:00,3363.975,3367.295,3359.339,3366.639,0,0
2025-06-06 03:30:00,3366.736,3371.811,3366.55,3369.747,0,0
2025-06-06 04:00:00,3369.675,3373.697,3369.056,3372.107,0,0
2025-06-06 04:30:00,3372.059,3374.661,3370.683,3373.595,0,0
2025-06-06 05:00:00,3373.569,3375.685,3368.223,3369.084,0,0
2025-06-06 05:30:00,3369.048,3369.608,3362.223,3366.046,0,0
2025-06-06 06:00:00,3365.964,3367.0,3361.47,3364.826,0,0
2025-06-06 06:30:00,3364.76,3365.235,3356.117,3360.632,0,0
2025-06-06 07:00:00,3360.682,3362.378,3356.668,3360.409,0,0
2025-06-06 07:30:00,3360.433,3360.688,3352.794,3359.374,0,0
2025-06-06 08:00:00,3359.419,3364.945,3358.375,3363.945,0,0
2025-06-06 08:30:00,3363.978,3367.782,3363.057,3365.305,0,0
2025-06-06 09:00:00,3365.29,3365.386,3355.389,3355.707,0,0
2025-06-06 09:30:00,3355.733,3359.348,3352.703,3356.712,0,0
2025-06-06 10:00:00,3356.725,3360.338,3355.903,3356.653,0,0
2025-06-06 10:30:00,3356.697,3360.914,3356.565,3360.472,0,0
2025-06-06 11:00:00,3360.52,3364.216,3360.332,3360.905,0,0
2025-06-06 11:30:00,3360.917,3364.32,3358.107,3358.292,0,0
2025-06-06 12:00:00,3358.308,3360.37,3353.916,3358.907,0,0
2025-06-06 12:30:00,3359.151,3364.421,3343.5,3353.4,0,0
2025-06-06 13:00:00,3353.365,3361.016,3346.611,3353.738,0,0
2025-06-06 13:30:00,3353.773,3355.454,3342.46,3343.206,0,0
2025-06-06 14:00:00,3343.236,3345.028,3316.269,3324.153,0,0
2025-06-06 14:30:00,3324.108,3334.272,3322.317,3326.105,0,0
2025-06-06 15:00:00,3326.081,3331.805,3323.328,3330.874,0,0
2025-06-06 15:30:00,3330.877,3336.772,3328.491,3332.228,0,0
2025-06-06 16:00:00,3332.182,3332.741,3323.871,3323.953,0,0
2025-06-06 16:30:00,3324.065,3325.799,3320.824,3322.757,0,0
2025-06-06 17:00:00,3322.762,3326.817,3322.573,3324.101,0,0
2025-06-06 17:30:00,3324.064,3324.442,3321.378,3323.627,0,0
2025-06-06 18:00:00,3323.648,3324.051,3313.661,3315.992,0,0
2025-06-06 18:30:00,3315.947,3320.161,3314.538,3317.477,0,0
2025-06-06 19:00:00,3317.473,3318.975,3313.549,3315.122,0,0
2025-06-06 19:30:00,3315.148,3316.089,3311.358,3312.345,0,0
2025-06-06 20:00:00,3312.382,3312.861,3307.053,3311.183,0,0
