timestamps,open,high,low,close,volume,amount
2025-12-07 23:55:00,4201.37700,4202.24700,4201.10800,4201.38900,851,0
2025-12-08 00:00:00,4201.43300,4203.17800,4199.46100,4199.82800,917,0
2025-12-08 00:05:00,4199.94400,4205.50300,4199.94400,4205.50300,1131,0
2025-12-08 00:10:00,4205.45200,4207.95600,4205.45200,4206.04600,845,0
2025-12-08 00:15:00,4206.03800,4207.07100,4202.91700,4204.26900,703,0
2025-12-08 00:20:00,4204.32000,4207.72300,4203.19800,4207.22900,653,0
2025-12-08 00:25:00,4207.18700,4207.57000,4205.28500,4205.83600,639,0
2025-12-08 00:30:00,4205.81500,4208.01700,4204.79900,4206.82500,699,0
2025-12-08 00:35:00,4206.87300,4210.31300,4206.69800,4209.65800,963,0
2025-12-08 00:40:00,4209.69300,4209.73200,4208.05000,4209.61100,629,0
2025-12-08 00:45:00,4209.50300,4210.21700,4208.57200,4209.61500,542,0
2025-12-08 00:50:00,4209.56700,4209.80900,4208.38100,4209.26600,635,0
2025-12-08 00:55:00,4209.30700,4211.65200,4209.28600,4210.84300,689,0
2025-12-08 01:00:00,4210.95500,4211.90200,4201.18600,4204.98500,3405,0
2025-12-08 01:05:00,4205.01900,4206.96700,4201.86400,4203.04400,1925,0
2025-12-08 01:10:00,4203.07100,4206.71300,4203.07100,4205.94700,1782,0
2025-12-08 01:15:00,4205.93900,4208.35300,4204.45900,4205.97200,1657,0
2025-12-08 01:20:00,4205.92000,4210.23600,4205.61800,4209.84100,1263,0
2025-12-08 01:25:00,4209.79000,4210.65000,4207.58400,4208.10600,941,0
2025-12-08 01:30:00,4208.06200,4209.75000,4206.26600,4208.29400,1367,0
2025-12-08 01:35:00,4208.33600,4208.77300,4206.52000,4207.01100,1222,0
2025-12-08 01:40:00,4206.98300,4208.15800,4205.24200,4206.66200,1407,0
2025-12-08 01:45:00,4206.70500,4208.32500,4200.21300,4201.46700,1921,0
2025-12-08 01:50:00,4201.42300,4202.86300,4198.88500,4200.75900,1547,0
2025-12-08 01:55:00,4200.85600,4202.40700,4197.57600,4201.12300,1589,0
2025-12-08 02:00:00,4201.08200,4202.15600,4199.60800,4200.38900,1301,0
2025-12-08 02:05:00,4200.36500,4201.11900,4198.44800,4199.88600,1194,0
2025-12-08 02:10:00,4199.76900,4201.53200,4198.89000,4200.46500,1054,0
2025-12-08 02:15:00,4200.41300,4202.55100,4199.08700,4201.90800,877,0
2025-12-08 02:20:00,4201.93200,4202.42600,4199.84500,4200.83100,674,0
2025-12-08 02:25:00,4200.84700,4203.54300,4200.57600,4203.25100,606,0
2025-12-08 02:30:00,4203.23100,4204.73200,4199.29900,4201.87400,1560,0
2025-12-08 02:35:00,4201.82900,4207.81100,4201.18200,4206.34100,1801,0
2025-12-08 02:40:00,4206.31300,4208.82500,4204.83000,4206.47000,1263,0
2025-12-08 02:45:00,4206.50200,4209.61200,4206.50200,4209.42000,870,0
2025-12-08 02:50:00,4209.41300,4211.67900,4208.38500,4211.19800,835,0
2025-12-08 02:55:00,4211.17300,4212.43000,4207.53800,4208.51400,1171,0
2025-12-08 03:00:00,4208.39000,4209.23700,4207.00900,4208.14800,890,0
2025-12-08 03:05:00,4208.15500,4209.60000,4206.76900,4209.48100,942,0
2025-12-08 03:10:00,4209.58600,4210.18700,4208.33500,4209.94100,714,0
2025-12-08 03:15:00,4209.91900,4213.43900,4209.87500,4212.73700,871,0
2025-12-08 03:20:00,4212.75300,4212.84400,4209.99200,4210.40400,712,0
2025-12-08 03:25:00,4210.40900,4210.92300,4207.78000,4209.86200,809,0
2025-12-08 03:30:00,4209.91000,4211.80600,4209.26700,4210.44800,864,0
2025-12-08 03:35:00,4210.44300,4210.81900,4207.12300,4208.39100,772,0
2025-12-08 03:40:00,4208.39100,4208.75500,4207.53200,4207.88800,523,0
2025-12-08 03:45:00,4207.84500,4208.84100,4207.36000,4208.22700,519,0
2025-12-08 03:50:00,4208.12700,4209.56100,4206.72500,4209.50300,567,0
2025-12-08 03:55:00,4209.49800,4210.42600,4209.00900,4210.03500,458,0
2025-12-08 04:00:00,4210.05100,4210.34300,4208.52200,4209.19900,455,0
2025-12-08 04:05:00,4209.17100,4210.39800,4208.88500,4209.95200,350,0
2025-12-08 04:10:00,4209.97700,4210.32800,4209.00800,4209.44200,492,0
2025-12-08 04:15:00,4209.48500,4212.08900,4209.48200,4209.65800,545,0
2025-12-08 04:20:00,4209.68100,4210.78400,4208.98000,4210.17300,389,0
2025-12-08 04:25:00,4210.23300,4210.39100,4208.88100,4209.54100,374,0
2025-12-08 04:30:00,4209.49200,4213.23000,4209.46700,4212.49800,428,0
2025-12-08 04:35:00,4212.50700,4212.65400,4210.53900,4210.76000,490,0
2025-12-08 04:40:00,4210.75700,4211.59000,4209.93700,4210.50900,508,0
2025-12-08 04:45:00,4210.55900,4211.13000,4209.82600,4210.70400,363,0
2025-12-08 04:50:00,4210.66300,4210.66300,4208.92400,4209.01500,399,0
2025-12-08 04:55:00,4208.97600,4209.57000,4206.88800,4208.50100,700,0
2025-12-08 05:00:00,4208.58000,4209.53900,4207.89400,4208.06600,559,0
2025-12-08 05:05:00,4208.03200,4209.45000,4207.67700,4208.30500,517,0
2025-12-08 05:10:00,4208.32300,4209.09900,4208.03300,4209.09900,467,0
2025-12-08 05:15:00,4209.02300,4209.13600,4205.59400,4206.01100,556,0
2025-12-08 05:20:00,4205.93500,4209.41400,4204.63900,4206.82400,749,0
2025-12-08 05:25:00,4206.87200,4207.90500,4206.30400,4206.33900,636,0
2025-12-08 05:30:00,4206.40200,4215.07700,4206.40200,4213.97400,1558,0
2025-12-08 05:35:00,4213.94700,4216.00500,4213.39000,4214.06700,1060,0
2025-12-08 05:40:00,4214.08500,4215.39700,4212.98800,4214.83300,825,0
2025-12-08 05:45:00,4214.89500,4215.11900,4212.67600,4213.88600,775,0
2025-12-08 05:50:00,4213.84900,4216.27300,4212.63500,4215.81500,836,0
2025-12-08 05:55:00,4215.75000,4217.22900,4214.84500,4217.00900,619,0
2025-12-08 06:00:00,4217.04500,4218.52300,4216.28200,4217.17200,1083,0
2025-12-08 06:05:00,4217.21800,4217.59200,4212.18900,4214.31800,1024,0
2025-12-08 06:10:00,4214.29600,4216.43100,4213.38200,4215.27400,856,0
2025-12-08 06:15:00,4215.23700,4217.65600,4214.39700,4214.82000,703,0
2025-12-08 06:20:00,4214.77600,4218.02600,4213.79400,4215.96700,872,0
2025-12-08 06:25:00,4215.95700,4217.23300,4215.47100,4216.54000,725,0
2025-12-08 06:30:00,4216.50600,4218.96300,4216.17600,4218.45100,826,0
2025-12-08 06:35:00,4218.50700,4218.67400,4215.40600,4217.80400,942,0
2025-12-08 06:40:00,4217.85300,4217.97000,4215.01600,4217.00200,824,0
2025-12-08 06:45:00,4216.95400,4217.56700,4216.01000,4216.59700,669,0
2025-12-08 06:50:00,4216.62900,4217.20400,4215.10100,4216.46500,690,0
2025-12-08 06:55:00,4216.47300,4218.02300,4216.34600,4217.00100,610,0
