timestamps,open,high,low,close,volume,amount
2025-06-23 23:55:00,3345.45700,3345.46400,3341.44600,3344.23500,1356,0
2025-06-24 00:00:00,3344.27000,3345.21800,3333.14300,3335.91300,2805,0
2025-06-24 00:05:00,3335.91300,3339.96700,3334.78800,3339.93000,1453,0
2025-06-24 00:10:00,3339.95400,3345.05000,3339.95400,3344.90400,1280,0
2025-06-24 00:15:00,3344.93000,3347.33700,3344.51100,3346.68800,1305,0
2025-06-24 00:20:00,3346.64600,3348.09800,3346.19300,3346.81600,1292,0
2025-06-24 00:25:00,3346.78700,3349.27900,3346.29500,3348.98200,1039,0
2025-06-24 00:30:00,3348.93200,3350.34100,3348.44100,3349.37500,1120,0
2025-06-24 00:35:00,3349.38500,3351.27500,3349.20000,3350.05300,1074,0
2025-06-24 00:40:00,3350.08300,3352.35900,3348.72000,3351.97300,977,0
2025-06-24 00:45:00,3351.94800,3355.22000,3351.29100,3352.17500,1123,0
2025-06-24 00:50:00,3352.22300,3354.63300,3350.34200,3352.71300,1508,0
2025-06-24 00:55:00,3352.68800,3353.85100,3350.00600,3351.06400,1871,0
2025-06-24 01:00:00,3351.05400,3354.35500,3346.77300,3350.07600,3417,0
2025-06-24 01:05:00,3350.03700,3353.84200,3347.46100,3349.82000,1675,0
2025-06-24 01:10:00,3349.72300,3350.99100,3347.15700,3349.01200,1857,0
2025-06-24 01:15:00,3349.04300,3352.09000,3348.79000,3351.06700,1501,0
2025-06-24 01:20:00,3351.06400,3352.88400,3350.50000,3350.88100,1067,0
2025-06-24 01:25:00,3350.84500,3352.04000,3349.69200,3349.69200,845,0
2025-06-24 01:30:00,3349.66200,3350.01700,3347.52400,3348.73100,1329,0
2025-06-24 01:35:00,3348.76200,3348.93300,3343.11000,3345.84100,1371,0
2025-06-24 01:40:00,3345.91700,3347.59200,3342.61200,3344.99200,1414,0
2025-06-24 01:45:00,3344.95800,3345.41000,3342.20100,3343.63500,1273,0
2025-06-24 01:50:00,3343.57700,3347.26000,3343.37900,3346.99400,1016,0
2025-06-24 01:55:00,3346.93600,3348.42700,3346.33200,3347.77500,771,0
2025-06-24 02:00:00,3347.72000,3350.65100,3347.06500,3350.65100,851,0
2025-06-24 02:05:00,3350.63900,3352.06200,3350.07200,3351.57400,954,0
2025-06-24 02:10:00,3351.59000,3352.94800,3350.61100,3350.74000,784,0
2025-06-24 02:15:00,3350.77300,3351.45300,3347.80800,3348.61800,758,0
2025-06-24 02:20:00,3348.57100,3348.57100,3345.84000,3346.85600,930,0
2025-06-24 02:25:00,3346.82600,3348.35500,3346.39300,3347.18000,707,0
2025-06-24 02:30:00,3347.18000,3348.99500,3347.09000,3348.73600,840,0
2025-06-24 02:35:00,3348.76100,3351.54100,3348.46400,3351.34500,785,0
2025-06-24 02:40:00,3351.29000,3351.37800,3349.23800,3349.32900,677,0
2025-06-24 02:45:00,3349.38900,3351.74500,3348.87800,3350.88800,621,0
2025-06-24 02:50:00,3350.92900,3352.11100,3350.89900,3351.40600,478,0
2025-06-24 02:55:00,3351.45300,3352.46300,3350.53000,3351.89400,607,0
2025-06-24 03:00:00,3351.90100,3353.52600,3351.50900,3352.91300,670,0
2025-06-24 03:05:00,3352.90600,3353.98200,3352.68500,3353.50600,445,0
2025-06-24 03:10:00,3353.47300,3354.27300,3352.94200,3353.31900,424,0
2025-06-24 03:15:00,3353.29000,3354.83100,3352.56000,3353.45500,509,0
2025-06-24 03:20:00,3353.45000,3354.06200,3351.57900,3351.91100,601,0
2025-06-24 03:25:00,3351.94600,3353.28300,3351.90400,3352.79700,493,0
2025-06-24 03:30:00,3352.72900,3356.42800,3352.59300,3356.07600,697,0
2025-06-24 03:35:00,3356.10800,3357.91200,3353.95300,3354.22900,693,0
2025-06-24 03:40:00,3354.17400,3354.37200,3352.34700,3353.00200,504,0
2025-06-24 03:45:00,3352.91700,3353.58500,3351.76300,3353.58500,509,0
2025-06-24 03:50:00,3353.51400,3353.51400,3351.98600,3352.73000,487,0
