timestamps,open,high,low,close,volume,amount
2026-07-21 23:00:00,4080.55,4083.03,4079.15,4080.762,0,0
2026-07-22 00:00:00,4080.459,4102.724,4076.663,4097.553,0,0
2026-07-22 01:00:00,4097.409,4123.696,4096.533,4122.069,0,0
2026-07-22 02:00:00,4122.177,4130.949,4118.98,4130.33,0,0
2026-07-22 03:00:00,4130.278,4141.799,4129.102,4130.926,0,0
2026-07-22 04:00:00,4130.873,4131.362,4124.801,4126.874,0,0
2026-07-22 05:00:00,4126.925,4133.895,4122.821,4130.84,0,0
2026-07-22 06:00:00,4131.089,4135.218,4113.376,4116.393,0,0
2026-07-22 07:00:00,4116.49,4123.079,4109.086,4110.524,0,0
2026-07-22 08:00:00,4110.471,4120.153,4110.471,4118.214,0,0
2026-07-22 09:00:00,4118.271,4122.412,4113.337,4115.158,0,0
2026-07-22 10:00:00,4115.211,4121.726,4114.933,4117.411,0,0
2026-07-22 11:00:00,4117.471,4123.082,4112.545,4122.429,0,0
2026-07-22 12:00:00,4122.452,4134.476,4106.217,4112.985,0,0
2026-07-22 13:00:00,4112.881,4155.99,4112.658,4154.47,0,0
2026-07-22 14:00:00,4154.526,4163.569,4144.014,4148.558,0,0
2026-07-22 15:00:00,4148.559,4166.092,4148.559,4159.132,0,0
2026-07-22 16:00:00,4159.181,4159.56,4144.345,4146.934,0,0
2026-07-22 17:00:00,4146.938,4148.004,4138.319,4142.516,0,0
2026-07-22 18:00:00,4142.402,4142.819,4131.913,4136.221,0,0
2026-07-22 19:00:00,4136.138,4137.304,4128.723,4131.685,0,0
2026-07-22 20:00:00,4131.577,4137.792,4128.139,4130.104,0,0
2026-07-22 21:00:00,4142.78,4142.82,4132.06,4135.98,0,0
2026-07-22 22:00:00,4117.8,4129.89,4116.127,4121.796,0,0
